iter	Passed	Remaining
659	4840	2493
660	4845	2485
661	4851	2477
662	4858	2469
663	4863	2461
664	4869	2453
665	4875	2445
666	4881	2437
667	4887	2429
668	4893	2421
669	4899	2413
670	4905	2405
671	4911	2397
672	4916	2389
673	4923	2381
674	4929	2373
675	4935	2365
676	4942	2358
677	4949	2350
678	4955	2342
679	4962	2335
680	4969	2327
681	4975	2319
682	4981	2312
683	4988	2304
684	4995	2297
685	5004	2290
686	5014	2284
687	5020	2276
688	5027	2269
689	5035	2262
690	5041	2254
691	5051	2248
692	5058	2240
693	5066	2233
694	5073	2226
695	5081	2219
696	5087	2211
697	5094	2204
698	5101	2196
699	5108	2189
700	5117	2182
701	5123	2174
702	5131	2168
703	5138	2160
704	5149	2154
705	5157	2147
706	5165	2140
707	5173	2133
708	5180	2126
709	5188	2119
710	5195	2111
711	5202	2104
712	5212	2098
713	5220	2091
714	5227	2083
715	5234	2076
716	5243	2069
717	5252	2062
718	5260	2055
719	5267	2048
720	5275	2041
721	5282	2034
722	5291	2027
723	5299	2020
724	5307	2013
725	5315	2005
726	5323	1999
727	5330	1991
728	5338	1984
729	5345	1977
730	5353	1970
731	5360	1962
732	5369	1955
733	5376	1948
734	5384	1941
735	5391	1933
736	5401	1927
737	5410	1920
738	5418	1913
739	5426	1906
740	5433	1899
741	5442	1892
742	5450	1885
743	5457	1877
744	5466	1871
745	5473	1863
746	5480	1856
747	5487	1848
748	5495	1841
749	5502	1834
750	5511	1827
751	5518	1819
752	5526	1812
753	5533	1805
754	5541	1798
755	5549	1791
756	5558	1784
757	5565	1776
758	5575	1770
759	5582	1762
760	5590	1755
761	5597	1748
762	5605	1741
763	5613	1733
764	5620	1726
765	5627	1719
766	5634	1711
767	5641	1704
768	5649	1696
769	5656	1689
770	5662	1681
771	5671	1674
772	5678	1667
773	5687	1660
774	5693	1653
775	5702	1646
776	5708	1638
777	5716	1631
778	5723	1623
779	5731	1616
780	5738	1609
781	5746	1601
782	5753	1594
783	5759	1586
784	5767	1579
785	5773	1572
786	5782	1565
787	5789	1557
788	5800	1551
789	5809	1544
790	5816	1536
791	5823	1529
792	5831	1522
793	5838	1514
794	5846	1507
795	5852	1500
796	5861	1493
797	5868	1485
798	5877	1478
799	5884	1471
800	5892	1463
801	5899	1456
802	5906	1449
803	5913	1441
804	5920	1434
805	5927	1426
806	5934	1419
807	5943	1412
